Name,Region,Cost,Points,Nest,Eggs,Wingspan,Action
Red-Breasted Nuthatch,0,0/1,2,3,3,23,AC1
Black Vulture,0,,2,3,1,150,OHB
Yellow-Billed Cuckoo,0,0+0+A,5,0,2,46,OLE~1
Cedar Waxwing,0/1,4+4,3,1,3,25,ATG4
Red-Eyed Vireo,0,0/4,3,4,2,25,PP
Mourning Dove,0/1/2,1,0,0,5,46,AE
Eastern Kingbird,0/1/2,0/4,2,1,2,38,OP0G0
Chestnut-Colllared Longspur,1,0+1+1,5,3,4,25,PO
Roseate Spoonbill,2,0+1+2,6,0,2,127,PO
Brewer's Blackbird,1,1+A,3,1,3,41,ATE
Red-Headed Woodpecker,0/1/2,0+1+A,4,3,3,43,AB1?C
Black-Necked Stilt,2,1+1,4,2,2,74,PD2
Horned Lark,1,0+1,5,2,4,30,OP1T
