Name,Region,Cost,Points,Nest,Eggs,Wingspan,Action
Red-Breasted Nuthatch,0,0/1,2,3,3,23,AC1
Black Vulture,0,,2,3,1,150,OHB
Yellow-Billed Cuckoo,0,0+0+A,5,0,2,46,OLE~1
Cedar Waxwing,0/1,4+4,3,1,3,25,ATG4
Red-Eyed Vireo,0,0/4,3,4,2,25,PP
Mourning Dove,0/1/2,1,0,0,5,46,AE
Eastern Kingbird,0/1/2,0/4,2,1,2,38,OP0G0
Chestnut-Colllared Longspur,1,0+1+1,5,3,4,25,PO
Roseate Spoonbill,2,0+1+2,6,0,2,127,PO
Brewer's Blackbird,1,1+A,3,1,3,41,ATE
Red-Headed Woodpecker,0/1/2,0+1+A,4,3,3,43,AB1?C
Black-Necked Stilt,2,1+1,4,2,2,74,PD2
Horned Lark,1,0+1,5,2,4,30,OP1T
Blue-Winged Warbler,0/1,0+0,8,1,2,20,
Wild Turkey,0/1,1+1+4,8,2,5,135,
Juniper Titmouse,0,0+1,4,3,3,23,AC1
Barrow's Goldeneye,2,0+1+2,5,3,4,71,OLE~3
Loggerhead Shrike,1/2,0+3,3,1,4,30,OFX3C
Cassin's Finch,0,1+4,4,1,3,30,PO
King Rail,2,0+2+A,4,0,6,51,PO
Hooded Merganser,2,0+2,5,3,4,61,ARH
Chimney Swift,0/1/2,0+0,3,4,2,36,AM
Franklin's Gull,1/2,2+A,3,4,2,91,A-ED2
Hooded Warbler,0,0+0,7,1,3,18,
Common Yellowthroat,2,0,1,1,4,18,AD2-
Greater Roadrunner,1,0+3+A,7,0,2,56,AHW50
Spotted Towhee,0/1,0/1/4,0,2,4,28,AG1
